Word,Root,Affix,Tag,PoS_root,PoS_word,tag_splitted
өнөрүн,өнөр,үн,POSS_3PL_ACC,NOUN,NOUN,"['POSS', '3PL', 'ACC']"
талаштык,талаш,тык,PST_DEF_POSS_1PL,VERB,VERB,"['PST', 'DEF', 'POSS', '1PL']"
сиңдим,сиңди,м,POSS_1SG,NOUN,NOUN,"['POSS', '1SG']"
апаңардын,апа,ңардын,POSS_2PL_GEN,NOUN,NOUN,"['POSS', '2PL', 'GEN']"
байкаптырсыңар,байка,птыр-сыңар,PST_EVID_2PL,VERB,VERB,"['PST', 'EVID', '2PL']"
ташыба,Ташы,ба,NEG,VERB,VERB,['NEG']
мисалдарыңа,мисал,дарыңа,PL_POSS_2SG_DAT,NOUN,NOUN,"['PL', 'POSS', '2SG', 'DAT']"
досторуңуздун,дос,торуңуздун,PL_POSS_2SGF_GEN,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'GEN']"
тоспойбуз,Тос,по-йбуз,NEG_1PL,VERB,VERB,"['NEG', '1PL']"
алмаларыңан,алма,ларыңан,PL_POSS_2SG_ABL,NOUN,NOUN,"['PL', 'POSS', '2SG', 'ABL']"
сүзүп жатасың,Сүз,үп-жатасың,PRES_2SG,VERB,VERB,"['PRES', '2SG']"
актамакчы,акта,макчы,DESIDE,VERB,VERB,['DESIDE']
сатасың,Сат,а-сың,FUT_DEF_2SG,VERB,VERB,"['FUT', 'DEF', '2SG']"
унутпайбыз,Унут,па-йбыз,NEG_1PL,VERB,VERB,"['NEG', '1PL']"
жыйырма миңче,жыйырма миң,че,NUM_APPR1,NUM,NUM,"['NUM', 'APPR1']"
дарбыздарга,дарбыз,дарга,PL_DAT,NOUN,NOUN,"['PL', 'DAT']"
бүктөгүм,Бүктө,гүм,OPT_POSS_1SG,VERB,VERB,"['OPT', 'POSS', '1SG']"
түртүп жатасың,Түрт,үп-жатасың,PRES_2SG,VERB,VERB,"['PRES', '2SG']"
тазаламайын,Тазала,майын,ADVV_NEG,VERB,VERB,"['ADVV', 'NEG']"
урматтабасмын,урматта,бас-мын,FUT_INDF_NEG_PERS_1SG,VERB,VERB,"['FUT', 'INDF', 'NEG', 'PERS', '1SG']"
топточумун,топто,чумун,PST_ITER_1SG,VERB,VERB,"['PST', 'ITER', '1SG']"
дептерлеримди,дептер,леримди,PL_POSS_1SG_ACC,NOUN,NOUN,"['PL', 'POSS', '1SG', 'ACC']"
куткарып жатасыз,куткар,ып-жатасыз,PRES_2SGF,VERB,VERB,"['PRES', '2SGF']"
шаарларына,шаар,ларына,PL_POSS_3PL_DAT,NOUN,NOUN,"['PL', 'POSS', '3PL', 'DAT']"
шаарында,шаар,ында,POSS_3PL_LOC,NOUN,NOUN,"['POSS', '3PL', 'LOC']"
асманыңыздардын,асман,ыңыздардын,POSS_2PLF_GEN,NOUN,NOUN,"['POSS', '2PLF', 'GEN']"
мисалыбызда,мисал,ыбызда,POSS_1PL_LOC,NOUN,NOUN,"['POSS', '1PL', 'LOC']"
актатыр,акта,тыр,CAUS_1,VERB,VERB,"['CAUS', '1']"
кырк сегизди,кырк сегиз,ди,ACC,NUM,NUM,['ACC']
мезгилим,мезгил,им,POSS_1SG,NOUN,NOUN,"['POSS', '1SG']"
периштелериңизден,периште,лериңизден,PL_POSS_2SGF_ABL,NOUN,NOUN,"['PL', 'POSS', '2SGF', 'ABL']"
термелмекчи,термел,мекчи,DESIDE,VERB,VERB,['DESIDE']
таштайбыз,Ташта,йбыз,FUT_DEF_1PL,VERB,VERB,"['FUT', 'DEF', '1PL']"
күтүштү,Күт,үш-тү,RECP_PST_DEF_3SG,VERB,VERB,"['RECP', 'PST', 'DEF', '3SG']"
жараныңыздан,жаран,ыңыздан,POSS_2SGF_ABL,NOUN,NOUN,"['POSS', '2SGF', 'ABL']"
атаңардан,ата,ңардан,POSS_2PL_ABL,NOUN,NOUN,"['POSS', '2PL', 'ABL']"
каарманыңа,каарман,ыңа,POSS_2SG_DAT,NOUN,NOUN,"['POSS', '2SG', 'DAT']"
жыйноодон,Жыйна,оо-дон,ABL,VERB,NOUN,['ABL']
тазалабайсыңар,Тазала,ба-йсыңар,NEG_2PL,VERB,VERB,"['NEG', '2PL']"
буйруп жатса,буйру,п-жатса,PRES_COND,VERB,VERB,"['PRES', 'COND']"
билмекмин,Бил,мек-мин,INF_4_1SG,VERB,VERB,"['INF', '4', '1SG']"
урматтоочу,урматта,оочу,PCP_PR,VERB,VERB,"['PCP', 'PR']"
оюндарына,оюн,дарына,PL_POSS_3PL_DAT,NOUN,NOUN,"['PL', 'POSS', '3PL', 'DAT']"
жаттамакмын,Жатта,мак-мын,INF_4_1SG,VERB,VERB,"['INF', '4', '1SG']"
дарбызыңардан,дарбыз,ыңардан,POSS_2PL_ABL,NOUN,NOUN,"['POSS', '2PL', 'ABL']"
айнегиме,айнек,име,POSS_1SG_DAT,NOUN,NOUN,"['POSS', '1SG', 'DAT']"
канаттууларбыз,канаттуу,ларбыз,PL_PERS_1PL,NOUN,NOUN,"['PL', 'PERS', '1PL']"
алтымыш бешинчисиздер,алтымыш беш,инчи-сиздер,NUM_ORD_3PL,NUM,NUM,"['NUM', 'ORD', '3PL']"
айнектерибизге,айнек,терибизге,PL_POSS_1PL_DAT,NOUN,NOUN,"['PL', 'POSS', '1PL', 'DAT']"
айталык,Айт,алык,HOR_PL,VERB,VERB,"['HOR', 'PL']"
кырк сегизинчисиздер,кырк сегиз,инчи-сиздер,NUM_ORD_3PL,NUM,NUM,"['NUM', 'ORD', '3PL']"
ырыбызга,ыр,ыбызга,POSS_1PL_DAT,NOUN,NOUN,"['POSS', '1PL', 'DAT']"
койсо,Кой,со,COND,VERB,VERB,['COND']
мактоонун,Макта,оо-нун,GEN,VERB,NOUN,['GEN']
ырларыңыздарда,ыр,ларыңыздарда,PL_POSS_2PLF_LOC,NOUN,NOUN,"['PL', 'POSS', '2PLF', 'LOC']"
жолугуп жатамын,жолук,уп-жатамын,PRES_1SG,VERB,VERB,"['PRES', '1SG']"
тилдерсиздер,тилде,р-сиздер,FUT_INDF_3PLF,VERB,VERB,"['FUT', 'INDF', '3PLF']"
сапталууда,сапта,луу-да,PRES,VERB,VERB,['PRES']
коркутсаңар,Коркут,саң-ар,COND_POSS_2PL,VERB,VERB,"['COND', 'POSS', '2PL']"
